,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar
580,0.89946,0.86112,0.0047631,0.91523,0.91745,0.0067669,0.91158,0.84047,0.0033947,0.91671,0.86048,0.0041161,0.90682,0.91279,0.0068877,0.89919,0.81739,0.0027842,0.87024,0.91304,0.0082449,0.87749,0.82317,0.0038619,0.89926,0.84387,0.0040098,0.92304,0.87251,0.004452
585,0.98057,0.81825,-0.00015127,1.0164,0.8806,0.0013338,0.98358,0.79407,-0.0013314,0.99724,0.8195,-0.0006992,0.98969,0.86741,0.0017469,0.95403,0.77005,-0.0013321,0.96832,0.87208,0.0027369,0.95221,0.78235,-0.00070984,0.97942,0.8032,-0.00077048,1.0114,0.83114,-0.00068414
590,1.0356,0.76726,-0.0044342,1.0887,0.8321,-0.0035016,1.0322,0.74103,-0.0054643,1.0475,0.76634,-0.0049059,1.0733,0.81989,-0.0034646,1.005,0.72405,-0.0052283,1.04,0.82404,-0.0020618,1.0121,0.73794,-0.004872,1.0373,0.75715,-0.0049397,1.0747,0.78005,-0.0052862
595,1.0676,0.70736,-0.0082441,1.1373,0.7733,-0.0078886,1.056,0.67985,-0.009026,1.0792,0.70675,-0.0086911,1.1247,0.76052,-0.0079815,1.0269,0.66703,-0.0085331,1.089,0.7652,-0.0064699,1.0469,0.68354,-0.0085382,1.0697,0.7008,-0.0086107,1.1126,0.72068,-0.0092955
600,1.0745,0.64285,-0.011325,1.1528,0.70469,-0.011473,1.0572,0.61632,-0.011851,1.0825,0.64073,-0.011706,1.1449,0.6938,-0.011659,1.0259,0.60576,-0.011174,1.1101,0.69861,-0.010174,1.0571,0.62404,-0.011515,1.076,0.63833,-0.011577,1.1224,0.65567,-0.012508
605,1.0598,0.57758,-0.01364,1.1462,0.63627,-0.014232,1.0367,0.55202,-0.013908,1.0622,0.57412,-0.013876,1.1455,0.62785,-0.014571,1.0083,0.54455,-0.013202,1.1095,0.6315,-0.013094,1.0482,0.56403,-0.01381,1.0627,0.57565,-0.013831,1.1089,0.59043,-0.014869
610,1.0127,0.51024,-0.014854,1.1,0.56341,-0.015726,0.98621,0.48681,-0.014906,1.0086,0.50531,-0.014915,1.1085,0.55891,-0.016229,0.96299,0.48167,-0.014283,1.0726,0.56049,-0.014848,1.0078,0.5014,-0.015062,1.017,0.50992,-0.015024,1.06,0.52269,-0.016041
615,0.94159,0.44423,-0.015128,1.0272,0.49175,-0.016184,0.91312,0.42307,-0.015008,0.93308,0.43851,-0.015064,1.0425,0.49048,-0.016802,0.89494,0.41979,-0.014488,1.0077,0.49034,-0.015535,0.94252,0.43929,-0.01538,0.94693,0.44514,-0.015284,0.98616,0.45611,-0.01624
620,0.85485,0.38129,-0.014702,0.93486,0.42235,-0.015845,0.82624,0.36275,-0.014462,0.84515,0.37565,-0.014593,0.95343,0.42331,-0.016483,0.81095,0.36027,-0.01401,0.92224,0.42229,-0.015385,0.85917,0.37896,-0.014962,0.85969,0.38254,-0.014825,0.89554,0.39223,-0.015716
625,0.7609,0.32344,-0.01378,0.8325,0.35805,-0.014895,0.73406,0.3077,-0.013483,0.74211,0.31535,-0.013444,0.85777,0.36225,-0.015638,0.72376,0.30654,-0.013156,0.82765,0.35966,-0.014648,0.77014,0.32384,-0.014102,0.76726,0.3255,-0.013924,0.79667,0.33321,-0.014665
630,0.64811,0.26609,-0.012147,0.71098,0.29515,-0.013184,0.62395,0.25292,-0.011836,0.6266,0.2576,-0.011729,0.74534,0.30306,-0.014098,0.6238,0.25468,-0.011754,0.71137,0.29761,-0.013091,0.66308,0.26913,-0.012563,0.65689,0.26913,-0.012336,0.67877,0.27463,-0.012898
635,0.53907,0.21506,-0.010376,0.59428,0.23949,-0.011334,0.51714,0.20397,-0.010056,0.52001,0.20776,-0.0099958,0.62486,0.24683,-0.012134,0.51857,0.20588,-0.010025,0.59596,0.24169,-0.0113,0.55386,0.21861,-0.010763,0.5474,0.21804,-0.010551,0.5652,0.2225,-0.011009
