,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
680,0.11167,0.0088778,0,0.12384,0.010516,0,0.10639,0.0078995,0,0.10312,0.0086347,0,0.13687,0.0097506,0,0.1114,0.0083029,0,0.1273,0.010867,0,0.11842,0.0086114,0,0.11533,0.0090173,0,0.11648,0.0086178,0
685,0.077972,0.0060797,0,0.086293,0.0071913,0,0.074372,0.0054067,0,0.07142,0.0058928,0,0.096223,0.0066611,0,0.078326,0.005698,0,0.08898,0.0074559,0,0.083035,0.005904,0,0.080719,0.0061847,0,0.081277,0.0058837,0
690,0.053551,0.0041264,0,0.05927,0.0048853,0,0.051084,0.0036707,0,0.049211,0.0040109,0,0.066351,0.0045291,0,0.054026,0.0038671,0,0.061121,0.0050598,0,0.057112,0.0040061,0,0.055459,0.0041967,0,0.055824,0.0040028,0
695,0.037277,0.0028491,0,0.041288,0.0033789,0,0.035532,0.0025363,0,0.034322,0.002779,0,0.045887,0.0031356,0,0.037339,0.0026597,0,0.042525,0.0034816,0,0.039629,0.0027609,0,0.038534,0.0028899,0,0.038874,0.0027725,0
700,0.02595,0.0019808,0,0.028734,0.0023494,0,0.02474,0.0017634,0,0.023874,0.0019324,0,0.031992,0.0021803,0,0.026032,0.0018485,0,0.02961,0.0024198,0,0.027612,0.0019192,0,0.026837,0.0020087,0,0.027059,0.0019279,0
705,0.018003,0.001374,0,0.019917,0.0016283,0,0.017172,0.0012228,0,0.016494,0.0013375,0,0.022242,0.0015101,0,0.018098,0.0012838,0,0.02055,0.0016804,0,0.019185,0.0013322,0,0.018635,0.0013947,0,0.018767,0.0013347,0
710,0.01234,0.00094562,0,0.013642,0.0011204,0,0.011778,0.00084146,0,0.01128,0.0009204,0,0.01532,0.0010391,0,0.01247,0.0008844,0,0.014093,0.0011575,0,0.013184,0.00091722,0,0.012791,0.00096042,0,0.01286,0.00091845,0
715,0.008451,0.00065394,0,0.0093485,0.00077569,0,0.0080627,0.00058218,0,0.0077512,0.00063824,0,0.010475,0.00071997,0,0.0085258,0.00061043,0,0.0096484,0.00079906,0,0.0090177,0.00063367,0,0.0087527,0.00066325,0,0.0088092,0.00063668,0
720,0.0058385,0.00045638,0,0.0064608,0.00054165,0,0.0055683,0.0004064,0,0.0053593,0.0004459,0,0.0072134,0.00050288,0,0.0058695,0.00042543,0,0.0066642,0.00055698,0,0.0062205,0.00044195,0,0.006042,0.00046245,0,0.006087,0.00044477,0
725,0.0040384,0.00031955,0,0.0044704,0.00037953,0,0.0038508,0.00028463,0,0.0037152,0.0003128,0,0.0049871,0.00035256,0,0.0040579,0.0002976,0,0.0046088,0.00038966,0,0.0043007,0.00030928,0,0.0041777,0.00032357,0,0.0042108,0.00031193,0
730,0.0028134,0.00022559,0,0.0031159,0.00026812,0,0.0026815,0.000201,0,0.0025925,0.00022113,0,0.0034632,0.00024916,0,0.0028173,0.00020976,0,0.0032098,0.0002747,0,0.0029912,0.00021818,0,0.0029077,0.00022818,0,0.0029341,0.00022048,0
735,0.0019627,0.0001596,0,0.0021731,0.00018967,0,0.001871,0.0001422,0,0.001806,0.00015641,0,0.0024173,0.00017625,0,0.0019664,0.00014842,0,0.0022395,0.00019436,0,0.0020877,0.00015437,0,0.0020291,0.00016145,0,0.0020467,0.00015596,0
740,0.0013679,0.00011325,0,0.0015157,0.00013479,0,0.0013034,0.00010096,0,0.0012643,0.00011142,0,0.001683,0.0001254,0,0.0013691,0.00010511,0,0.0015603,0.00013767,0,0.0014535,0.00010941,0,0.0014131,0.00011439,0,0.0014268,0.00011104,0
745,0.00096509,8.16E-05,0,0.0010698,9.72E-05,0,0.00091917,7.28E-05,0,0.0008925,8.03E-05,0,0.0011819,9.04E-05,0,0.00096105,7.55E-05,0,0.0011005,9.90E-05,0,0.0010233,7.87E-05,0,0.00099587,8.23E-05,0,0.0010069,8.01E-05,0
750,0.00068005,5.87E-05,0,0.0007539,6.99E-05,0,0.00064772,5.23E-05,0,0.00062955,5.78E-05,0,0.00083373,6.50E-05,0,0.00067802,5.44E-05,0,0.00077548,7.12E-05,0,0.00072136,5.66E-05,0,0.00070186,5.92E-05,0,0.0007095,5.76E-05,0
755,0.00048186,4.24E-05,0,0.00053453,5.06E-05,0,0.00045872,3.78E-05,0,0.00044723,4.19E-05,0,0.00058889,4.71E-05,0,0.00047881,3.92E-05,0,0.00054927,5.14E-05,0,0.00051022,4.09E-05,0,0.00049679,4.27E-05,0,0.00050286,4.17E-05,0
760,0.00034318,3.09E-05,0,0.00038074,3.68E-05,0,0.00032666,2.75E-05,0,0.00031861,3.05E-05,0,0.00041882,3.43E-05,0,0.00034049,2.85E-05,0,0.00039115,3.74E-05,0,0.00036315,2.98E-05,0,0.0003537,3.11E-05,0,0.00035815,3.04E-05,0
765,0.00024477,2.24E-05,0,0.00027169,2.68E-05,0,0.00023292,2.00E-05,0,0.00022783,2.22E-05,0,0.0002984,2.49E-05,0,0.00024258,2.07E-05,0,0.00027893,2.72E-05,0,0.00025881,2.16E-05,0,0.00025214,2.26E-05,0,0.0002555,2.21E-05,0
770,0.0001757,1.64E-05,0,0.00019505,1.96E-05,0,0.00016716,1.46E-05,0,0.00016349,1.62E-05,0,0.00021374,1.82E-05,0,0.00017372,1.52E-05,0,0.00020019,1.99E-05,0,0.0001856,1.58E-05,0,0.00018091,1.65E-05,0,0.00018341,1.62E-05,0
775,0.00012592,1.20E-05,0,0.00013981,1.43E-05,0,0.0001198,1.07E-05,0,0.00011738,1.19E-05,0,0.00015327,1.33E-05,0,0.00012458,1.11E-05,0,0.00014347,1.45E-05,0,0.00013303,1.16E-05,0,0.00012965,1.21E-05,0,0.00013145,1.18E-05,0
780,9.12E-05,8.86E-06,0,0.00010148,1.06E-05,0,8.67E-05,7.92E-06,0,8.58E-05,8.83E-06,0,0.00011029,9.90E-06,0,8.96E-05,8.15E-06,0,0.00010384,1.07E-05,0,9.60E-05,8.52E-06,0,9.37E-05,8.89E-06,0,9.53E-05,8.78E-06,0
