,R,G,B
691,0.00014708,1.71E-13,5.23E-06
692,0.00012444,1.23E-13,4.42E-06
693,0.00010501,8.90E-14,3.73E-06
694,8.84E-05,6.41E-14,3.14E-06
695,7.42E-05,4.62E-14,2.64E-06
696,6.21E-05,3.34E-14,2.21E-06
697,5.18E-05,2.41E-14,1.84E-06
698,4.31E-05,1.74E-14,1.53E-06
699,3.58E-05,1.26E-14,1.27E-06
700,2.96E-05,9.19E-15,1.05E-06
701,2.45E-05,6.69E-15,8.70E-07
702,2.02E-05,4.89E-15,7.17E-07
703,1.66E-05,3.59E-15,5.89E-07
704,1.36E-05,2.64E-15,4.82E-07
705,1.11E-05,1.95E-15,3.94E-07
706,9.02E-06,1.45E-15,3.21E-07
707,7.33E-06,1.08E-15,2.61E-07
708,5.94E-06,8.09E-16,2.11E-07
709,4.80E-06,6.09E-16,1.71E-07
710,3.87E-06,4.59E-16,1.37E-07
711,3.11E-06,3.48E-16,1.10E-07
712,2.49E-06,2.65E-16,8.85E-08
713,1.99E-06,2.02E-16,7.07E-08
714,1.59E-06,1.54E-16,5.64E-08
715,1.26E-06,1.18E-16,4.48E-08
716,1.00E-06,9.08E-17,3.55E-08
717,7.90E-07,6.98E-17,2.81E-08
718,6.23E-07,5.37E-17,2.22E-08
719,4.90E-07,4.13E-17,1.74E-08
720,3.84E-07,3.18E-17,1.37E-08
721,3.01E-07,2.45E-17,1.07E-08
722,2.34E-07,1.88E-17,8.33E-09
723,1.82E-07,1.45E-17,6.48E-09
724,1.41E-07,1.11E-17,5.03E-09
725,1.09E-07,8.52E-18,3.89E-09
726,8.44E-08,6.52E-18,3.00E-09
727,6.50E-08,4.98E-18,2.31E-09
728,4.99E-08,3.80E-18,1.77E-09
729,3.82E-08,2.90E-18,1.36E-09
730,2.91E-08,2.20E-18,1.04E-09
731,2.22E-08,1.67E-18,7.88E-10
732,1.68E-08,1.26E-18,5.98E-10
733,1.27E-08,9.54E-19,4.53E-10
734,9.62E-09,7.19E-19,3.42E-10
735,7.24E-09,5.40E-19,2.58E-10
736,5.44E-09,4.05E-19,1.93E-10
737,4.07E-09,3.03E-19,1.45E-10
738,3.04E-09,2.26E-19,1.08E-10
739,2.27E-09,1.68E-19,8.06E-11
740,1.68E-09,1.25E-19,5.98E-11
741,1.25E-09,9.23E-20,4.43E-11
742,9.21E-10,6.82E-20,3.27E-11
743,6.79E-10,5.02E-20,2.41E-11
744,4.99E-10,3.69E-20,1.77E-11
745,3.65E-10,2.70E-20,1.30E-11
746,2.67E-10,1.97E-20,9.50E-12
747,1.95E-10,1.44E-20,6.92E-12
748,1.42E-10,1.04E-20,5.03E-12
749,1.03E-10,7.57E-21,3.65E-12
750,7.42E-11,5.47E-21,2.64E-12
751,5.35E-11,3.94E-21,1.90E-12
752,3.84E-11,2.83E-21,1.37E-12
753,2.76E-11,2.03E-21,9.80E-13
754,1.97E-11,1.45E-21,7.01E-13
755,1.41E-11,1.04E-21,5.00E-13
756,1.00E-11,7.37E-22,3.55E-13
757,7.09E-12,5.23E-22,2.52E-13
758,5.02E-12,3.70E-22,1.78E-13
759,3.54E-12,2.61E-22,1.26E-13
760,2.49E-12,1.84E-22,8.85E-14
761,1.75E-12,1.29E-22,6.21E-14
762,1.22E-12,9.01E-23,4.35E-14
763,8.54E-13,6.29E-23,3.03E-14
764,5.94E-13,4.38E-23,2.11E-14
765,4.12E-13,3.04E-23,1.47E-14
766,2.85E-13,2.10E-23,1.01E-14
767,1.97E-13,1.45E-23,7.01E-15
768,1.36E-13,1.00E-23,4.82E-15
769,9.32E-14,6.86E-24,3.31E-15
770,6.38E-14,4.70E-24,2.27E-15
771,4.36E-14,3.21E-24,1.55E-15
772,2.97E-14,2.19E-24,1.05E-15
773,2.01E-14,1.48E-24,7.16E-16
774,1.36E-14,1.01E-24,4.85E-16
775,9.22E-15,6.79E-25,3.28E-16
776,6.21E-15,4.58E-25,2.21E-16
777,4.17E-15,3.07E-25,1.48E-16
778,2.80E-15,2.06E-25,9.94E-17
779,1.87E-15,1.38E-25,6.64E-17
780,1.25E-15,9.17E-26,4.43E-17
